"author","coauthors"
"Mattan S. Ben-Shachar","Rémi Thériault"
"Mattan S. Ben-Shachar","Andrea Berger"
"Mattan S. Ben-Shachar","Michael Shmueli"
"Mattan S. Ben-Shachar","Tzlil Einziger"
"Mattan S. Ben-Shachar","Dmitri Lavro"
"Mattan S. Ben-Shachar","Shachar Hochman"
"Mattan S. Ben-Shachar","Nachshon Meiran"
"Mattan S. Ben-Shachar","Maayan Pereg"
"Mattan S. Ben-Shachar","Minna Hannula-Sormunen"
"Giorgia Silani","Claus Lamm"
"Giorgia Silani","Geoffrey Bird"
"Giorgia Silani","Uta Frith"
"Giorgia Silani","Indrajeet Patil"
"Giorgia Silani","Eraldo Paulesu"
"Giorgia Silani","Chris Frith"
"Giorgia Silani","Henryk Bukowski"
"Giorgia Silani","Daniela Perani"
"Giorgia Silani","Christian Windischberger"
"Giorgia Silani","Christian C. Ruff"
"Giorgia Silani","Federica Riva"
"Giorgia Silani","Luca Chittaro"
"Giorgia Silani","Nicola Zangrando"
"Giorgia Silani","Giovanni Novembre"
"Giorgia Silani","Kerstin Preuschoff"
"Giorgia Silani","Caroline Catmur"
"Giorgia Silani","Sarah J White"
"Giorgia Silani","Igor Riecansky"
"Giorgia Silani","Manuela Berlingeri"
"Giorgia Silani","Nunzio Alberto Borghese"
"Fiery Cushman","Liane Young"
"Fiery Cushman","Marc Hauser"
"Fiery Cushman","Adam Morris"
"Fiery Cushman","Jonathan Phillips"
"Fiery Cushman","Samuel Gershman"
"Fiery Cushman","Joshua Greene"
"Fiery Cushman","Mark Ho"
"Fiery Cushman","Joshua Knobe"
"Fiery Cushman","Ralph Adolphs"
"Fiery Cushman","Daniel Tranel, Phd"
"Fiery Cushman","Michael Littman"
"Fiery Cushman","Wouter Kool"
"Fiery Cushman","Joshua B. Tenenbaum"
"Fiery Cushman","Michael Koenigs"
"Fiery Cushman","Justin Martin"
"Fiery Cushman","Sydney Levine"
"Fiery Cushman","Eric Schwitzgebel"
"Fiery Cushman","Joseph Austerweil"
"Fiery Cushman","Max Kleiman-Weiner"
"Fiery Cushman","Rebecca Saxe"
"Nicola Zangrando","Fabio Buttussi"
"Constantin Ahlmann-Eltze","Wolfgang Huber"
"Constantin Ahlmann-Eltze","Simon Anders"
"Constantin Ahlmann-Eltze","Jan G. Gleixner"
"Constantin Ahlmann-Eltze","Charlotte Bunne"
"Constantin Ahlmann-Eltze","Max Horn"
"Constantin Ahlmann-Eltze","Christopher Yau"
"Constantin Ahlmann-Eltze","Christoph Metzendorf"
"Wouter Kool","Matthew Botvinick"
"Wouter Kool","Samuel Gershman"
"Wouter Kool","Fiery Cushman"
"Wouter Kool","Joseph T. Mcguire"
"Wouter Kool","Amitai Shenhav"
"Wouter Kool","Jonathan D. Cohen"
"Wouter Kool","Thomas L. Griffiths"
"Wouter Kool","Falk Lieder"
"Wouter Kool","Sebastian Musslick"
"Wouter Kool","Edward Patzelt"
"Wouter Kool","Alexander J. Millner"
